hotel,fold,Naive_ME,Naive_MAE,Naive_RMSE,Naive_MAPE,Seasonal_ME,Seasonal_MAE,Seasonal_RMSE,Seasonal_MAPE,ETS_ME,ETS_MAE,ETS_RMSE,ETS_MAPE,ARIMA_ME,ARIMA_MAE,ARIMA_RMSE,ARIMA_MAPE,LGBM_ME,LGBM_MAE,LGBM_RMSE,LGBM_MAPE,NBEATS_ME,NBEATS_MAE,NBEATS_RMSE,NBEATS_MAPE,NHITS_ME,NHITS_MAE,NHITS_RMSE,NHITS_MAPE
hotel_21,5,-0.015720390720390734,0.03647741147741147,0.05846207472971748,0.04111779381999951,-0.029609279609279573,0.03663003663003662,0.06361912398235159,0.04184785813280976,-0.01217642352624668,0.03619493768811698,0.05543081671178468,0.040399626946404366,-0.014766439730348623,0.03661928846538312,0.05815934844965741,0.04122042553869361,,,,,,,,,,,,
hotel_28,1,-0.3718864468864469,0.3718864468864469,0.4180115657594525,0.7942262128777441,-0.3718864468864469,0.3718864468864469,0.4180115657594525,0.7942262128777441,-0.2962512965540095,0.3000133533061364,0.3453473335451919,0.6468157006685576,-0.29667944032271343,0.3058188999557407,0.3524451837909481,0.665053340762289,,,,,,,,,,,,
hotel_28,2,-0.029487179487179466,0.12765567765567765,0.16393363557926993,inf,-0.13782051282051289,0.16474358974358977,0.2121302356436651,inf,0.05441124461457695,0.11957955413728127,0.1600964917524616,inf,-0.0012124081988091878,0.12385469299322577,0.16107792245156685,inf,,,,,,,,,,,,
hotel_28,3,0.09926739926739926,0.14597069597069598,0.22396485530157714,inf,-0.5257326007326006,0.5275641025641025,0.5627619455204903,inf,0.13704270282107703,0.17510805198438492,0.25163650922880243,inf,-0.1501880082940501,0.23177647561825993,0.2520512487440927,inf,,,,,,,,,,,,
hotel_28,4,0.0002747252747252747,0.0002747252747252747,0.0019533634622437308,,0.0002747252747252747,0.0002747252747252747,0.0019533634622437308,,0.039358703924812076,0.05803050497354499,0.06387736324423972,inf,0.11118213787990239,0.11118213787990239,0.12449841969847761,inf,,,,,,,,,,,,
hotel_28,5,0.01327838827838828,0.01327838827838828,0.0785776720796089,,0.01327838827838828,0.01327838827838828,0.0785776720796089,,0.005683175003383135,0.021778492197135926,0.07969083996329966,inf,0.10101419589093223,0.10101419589093223,0.1417999359089096,inf,,,,,,,,,,,,
hotel_35,1,0.021505837912087912,0.12774725274725274,0.1573431988263369,1.8789115689654046,-0.029275412087912088,0.13976648351648352,0.1585920266139514,2.3650037401836492,0.02951756387384945,0.11553146132687796,0.15477039245872315,1.6966758341681518,0.0484198704164381,0.12464236299185344,0.16303517321895836,1.6338199819068893,,,,,,,,,,,,
hotel_35,2,-0.07823231456043957,0.12480683379120878,0.15679835419083046,0.6691968834098235,-0.12315418956043957,0.14049622252747251,0.1833913390587414,0.7630109133189341,-0.48726430984215685,0.4965756880503617,0.6199215931263157,2.2701861934610292,-0.06753264970755507,0.12289503730541243,0.15161727600760191,0.6491079538378316,,,,,,,,,,,,
hotel_35,3,0.2705829326923077,0.2705829326923077,0.303303645462025,0.6877597818492066,0.028395432692307692,0.119140625,0.13994384046454922,0.4393313829030974,0.31880605195209516,0.31880605195209516,0.3515847182103403,0.8493877783729151,0.2506769748941747,0.2509409129010398,0.28562319838135436,0.6229150786700663,,,,,,,,,,,,
hotel_35,4,0.13573145604395603,0.1771978021978022,0.22015418839309958,0.26952890661197226,0.04979395604395604,0.15491929945054944,0.18034488228313947,0.26954284415333557,0.11817646019457974,0.17333908610721777,0.2142290156127305,0.2708117801749,0.13294478542075,0.17594422120080028,0.21837328517087895,0.2684382941960299,,,,,,,,,,,,
hotel_35,5,-0.14176253434065933,0.15300910027472528,0.18724327537552835,0.2555403009141253,-0.14762190934065933,0.15732314560439561,0.19171764693958449,0.2624759934818026,-0.17713371104860248,0.18230123650004326,0.21538653119063406,0.29873757918234645,-0.13407265955600267,0.1474081973407956,0.1810965292867487,0.24636426141506615,,,,,,,,,,,,
hotel_42,1,-0.31031721315122124,0.3145882457623348,0.38829234543387475,0.7297097917028544,-0.25363705120790137,0.2743693553410152,0.3446823559308464,0.6468770683880922,-0.14992590888612975,0.22356164591822775,0.26406405366166735,0.48357156199082646,-0.11213333081280921,0.21189564059025004,0.25868367694606037,0.48232243514597684,,,,,,,,,,,,
hotel_42,2,-0.008897984606486574,0.18863727365751654,0.22834664392981924,0.419337252040532,-0.3408817902745029,0.3408817902745029,0.4101992328182789,0.8096350803778092,-0.04143999312488792,0.16153523063611896,0.20376088589436508,0.37414490512913684,-0.10458938479205708,0.19566569803099085,0.2509387560594475,0.4865064826287781,,,,,,,,,,,,
hotel_42,3,0.12781954887218044,0.2518574542866041,0.29059410863786983,0.48257789181327376,-0.3458646616541354,0.34604262134626507,0.43327758202136407,0.9872022592354897,0.06298856818636048,0.21373907282733315,0.25163643619977794,0.45656752715085686,-0.07408723509480152,0.22629837051488053,0.2726662072435206,0.6113269418463949,,,,,,,,,,,,
